TP,FP,FN,TN
29,2,10,248
10,0,0,35
33,0,7,104
31,1,3,61
86,2,90,1387
118,4,74,1392
24,0,21,2593
120,4,26,611
62,1,8,308
62,10,13,264
251,7,54,573
6,0,13,1512
28,3,42,5431
77,0,33,72
83,0,27,72
87,1,23,71
100,12,10,60
101,14,9,58
9,0,7,28
272,7,62,1769
8,0,32,1500
34,0,21,61
2,0,0,38
11,0,3,285
12,1,1,243
25,0,10,182
233,2,55,1517
38,2,6,235
49,1,2,48
100,2,37,145
19,0,8,3
35,9,8,16
1,0,12,37
5,0,50,47
64,1,7,257
64,0,6,258
98,13,67,6461
40,0,22,763
40,0,22,763
26,0,12,482
31,0,7,482
41,3,21,724
324,0,6,503
26,5,22,157
23,0,12,388
41,0,25,335
56,0,35,139
68,1,7,173
323,6,86,205
276,5,119,420
301,2,128,295
303,4,62,175
326,7,96,224
124,12,56,2627
85,26,97,2595
75,0,4,217
67,0,19,64
20,0,2,84
46,1,27,649
53,2,140,1034
24,2,91,910
41,1,119,1183
29,0,17,39
253,1,158,2843
96,5,95,1533
113,6,39,2054
20,1,1,394
11,1,0,233
263,5,2,255
265,3,0,258
1,0,0,5
1,0,0,8
6,0,3,242
2,0,0,197
47,0,1,210
132,1,9,1507
6,3,0,209
13,4,0,109
18,5,2,98
323,0,4,1860
83,1,1,260
43,1,1,186
6,0,0,486
8,0,1,501
51,1,3,139
26,1,3,173
88,1,8,4902
2,3,1,54
4,1,1,45
186,1,5,791
470,1,10,472
